tweet_id,image_id,image_info,image_info_conf,image_path,image_name
917791044158185473,917791044158185473_0,informative,0.6766,data_image/california_wildfires/10_10_2017/917791044158185473_0.jpg,917791044158185473_0
917791130590183424,917791130590183424_0,informative,0.6667,data_image/california_wildfires/10_10_2017/917791130590183424_0.jpg,917791130590183424_0
917791291823591425,917791291823591425_0,informative,1.0,data_image/california_wildfires/10_10_2017/917791291823591425_0.jpg,917791291823591425_0
917791291823591425,917791291823591425_1,not_informative,1.0,data_image/california_wildfires/10_10_2017/917791291823591425_1.jpg,917791291823591425_1
917792092100988929,917792092100988929_0,informative,0.6612,data_image/california_wildfires/10_10_2017/917792092100988929_0.jpg,917792092100988929_0
917792147700465664,917792147700465664_0,informative,1.0,data_image/california_wildfires/10_10_2017/917792147700465664_0.jpg,917792147700465664_0
917792930315821057,917792930315821057_0,informative,1.0,data_image/california_wildfires/10_10_2017/917792930315821057_0.jpg,917792930315821057_0
917793137925459968,917793137925459968_0,informative,1.0,data_image/california_wildfires/10_10_2017/917793137925459968_0.jpg,917793137925459968_0
917793137925459968,917793137925459968_1,informative,0.6538,data_image/california_wildfires/10_10_2017/917793137925459968_1.jpg,917793137925459968_1
917793137925459968,917793137925459968_2,informative,1.0,data_image/california_wildfires/10_10_2017/917793137925459968_2.jpg,917793137925459968_2
917793158251077632,917793158251077632_0,not_informative,1.0,data_image/california_wildfires/10_10_2017/917793158251077632_0.jpg,917793158251077632_0
917793736918216706,917793736918216706_0,not_informative,1.0,data_image/california_wildfires/10_10_2017/917793736918216706_0.jpg,917793736918216706_0
917793881533571073,917793881533571073_0,informative,0.5891,data_image/california_wildfires/10_10_2017/917793881533571073_0.jpg,917793881533571073_0
917794024173563904,917794024173563904_0,informative,0.6814,data_image/california_wildfires/10_10_2017/917794024173563904_0.jpg,917794024173563904_0
917794232160661505,917794232160661505_0,informative,1.0,data_image/california_wildfires/10_10_2017/917794232160661505_0.jpg,917794232160661505_0
917794360581869569,917794360581869569_0,informative,0.6714,data_image/california_wildfires/10_10_2017/917794360581869569_0.jpg,917794360581869569_0
917794580728295424,917794580728295424_0,informative,1.0,data_image/california_wildfires/10_10_2017/917794580728295424_0.jpg,917794580728295424_0
917794892113498113,917794892113498113_0,informative,1.0,data_image/california_wildfires/10_10_2017/917794892113498113_0.jpg,917794892113498113_0
917795098523512962,917795098523512962_0,informative,0.8061,data_image/california_wildfires/10_10_2017/917795098523512962_0.jpg,917795098523512962_0
917795236595863552,917795236595863552_0,informative,1.0,data_image/california_wildfires/10_10_2017/917795236595863552_0.jpg,917795236595863552_0
917796280377602048,917796280377602048_0,informative,0.6897,data_image/california_wildfires/10_10_2017/917796280377602048_0.jpg,917796280377602048_0
917796307191951360,917796307191951360_0,informative,1.0,data_image/california_wildfires/10_10_2017/917796307191951360_0.jpg,917796307191951360_0
917796883610820608,917796883610820608_0,informative,0.672,data_image/california_wildfires/10_10_2017/917796883610820608_0.jpg,917796883610820608_0
917796940900982786,917796940900982786_0,informative,1.0,data_image/california_wildfires/10_10_2017/917796940900982786_0.jpg,917796940900982786_0
917797601763889160,917797601763889160_0,informative,0.7498,data_image/california_wildfires/10_10_2017/917797601763889160_0.jpg,917797601763889160_0
917797763282214913,917797763282214913_0,informative,1.0,data_image/california_wildfires/10_10_2017/917797763282214913_0.jpg,917797763282214913_0
917800657796595715,917800657796595715_0,informative,0.6568,data_image/california_wildfires/10_10_2017/917800657796595715_0.jpg,917800657796595715_0
917803185317859329,917803185317859329_0,informative,0.6829,data_image/california_wildfires/10_10_2017/917803185317859329_0.jpg,917803185317859329_0
917803284936589313,917803284936589313_0,informative,1.0,data_image/california_wildfires/10_10_2017/917803284936589313_0.jpg,917803284936589313_0
917803905681121280,917803905681121280_0,informative,0.6873,data_image/california_wildfires/10_10_2017/917803905681121280_0.jpg,917803905681121280_0
917804456422473734,917804456422473734_0,informative,1.0,data_image/california_wildfires/10_10_2017/917804456422473734_0.jpg,917804456422473734_0
